"id","createdAt","updatedAt","game_date","week_number","away_team_points","home_team_points","away_team_id","home_team_id","user_id","location"
1027,2025-12-15 10:53:32.256 -0500,2025-12-15 10:53:32.256 -0500,2025-12-07 13:00:00.000 -0500,14,34,10,3,4,1,MetLife Stadium
1028,2025-12-15 10:53:32.259 -0500,2025-12-15 10:53:32.259 -0500,2025-12-07 13:00:00.000 -0500,14,24,20,28,26,1,Raymond James Stadium
1029,2025-12-15 10:53:32.262 -0500,2025-12-15 10:53:32.262 -0500,2025-12-07 13:00:00.000 -0500,14,34,39,7,2,1,Highmark Stadium
1030,2025-12-15 10:53:32.266 -0500,2025-12-15 10:53:32.266 -0500,2025-12-07 16:05:00.000 -0500,14,24,17,13,16,1,Allegiant Stadium
1031,2025-12-15 10:53:32.270 -0500,2025-12-15 10:53:32.270 -0500,2025-12-07 16:25:00.000 -0500,14,21,28,22,21,1,Lambeau Field
1032,2025-12-15 10:53:32.275 -0500,2025-12-15 10:53:32.275 -0500,2025-12-07 16:25:00.000 -0500,14,45,17,29,32,1,State Farm Stadium
1033,2025-12-15 10:53:32.279 -0500,2025-12-15 10:53:32.279 -0500,2025-12-07 20:20:00.000 -0500,14,20,10,10,15,1,GEHA Field at Arrowhead Stadium
1034,2025-12-15 10:53:32.283 -0500,2025-12-15 10:53:32.283 -0500,2025-12-08 20:15:00.000 -0500,14,19,22,17,14,1,SoFi Stadium
1035,2025-12-15 10:53:32.286 -0500,2025-12-15 10:53:32.286 -0500,2025-12-11 20:15:00.000 -0500,15,29,28,27,26,1,Raymond James Stadium
1050,2025-12-15 10:53:32.329 -0500,2025-12-15 10:53:32.329 -0500,2025-12-15 20:15:00.000 -0500,15,0,0,3,5,1,Acrisure Stadium
1051,2025-12-15 10:53:32.332 -0500,2025-12-15 10:53:32.332 -0500,2025-12-18 20:15:00.000 -0500,16,0,0,29,30,1,Lumen Field
1052,2025-12-15 10:53:32.336 -0500,2025-12-15 10:53:32.336 -0500,2025-12-20 17:00:00.000 -0500,16,0,0,17,19,1,Northwest Stadium
1053,2025-12-15 10:53:32.340 -0500,2025-12-15 10:53:32.340 -0500,2025-12-20 20:20:00.000 -0500,16,0,0,21,22,1,Soldier Field
1054,2025-12-15 10:53:32.345 -0500,2025-12-15 10:53:32.345 -0500,2025-12-21 13:00:00.000 -0500,16,0,0,1,6,1,M&T Bank Stadium
1055,2025-12-15 10:53:32.348 -0500,2025-12-15 10:53:32.348 -0500,2025-12-21 13:00:00.000 -0500,16,0,0,26,9,1,Bank of America Stadium
1056,2025-12-15 10:53:32.351 -0500,2025-12-15 10:53:32.351 -0500,2025-12-21 13:00:00.000 -0500,16,0,0,2,8,1,Huntington Bank Field
1057,2025-12-15 10:53:32.355 -0500,2025-12-15 10:53:32.355 -0500,2025-12-21 13:00:00.000 -0500,16,0,0,14,18,1,AT&T Stadium
1058,2025-12-15 10:53:32.358 -0500,2025-12-15 10:53:32.358 -0500,2025-12-21 13:00:00.000 -0500,16,0,0,4,28,1,Caesars Superdome
1059,2025-12-15 10:53:32.362 -0500,2025-12-15 10:53:32.362 -0500,2025-12-21 13:00:00.000 -0500,16,0,0,24,20,1,MetLife Stadium
1060,2025-12-15 10:53:32.365 -0500,2025-12-15 10:53:32.365 -0500,2025-12-21 13:00:00.000 -0500,16,0,0,15,12,1,Nissan Stadium
1061,2025-12-15 10:53:32.368 -0500,2025-12-15 10:53:32.368 -0500,2025-12-21 16:05:00.000 -0500,16,0,0,27,32,1,State Farm Stadium
1062,2025-12-15 10:53:32.371 -0500,2025-12-15 10:53:32.371 -0500,2025-12-21 16:05:00.000 -0500,16,0,0,25,13,1,Empower Field at Mile High
1063,2025-12-15 10:53:32.373 -0500,2025-12-15 10:53:32.373 -0500,2025-12-21 16:25:00.000 -0500,16,0,0,5,23,1,Ford Field
1064,2025-12-15 10:53:32.377 -0500,2025-12-15 10:53:32.377 -0500,2025-12-21 16:25:00.000 -0500,16,0,0,16,10,1,NRG Stadium
1065,2025-12-15 10:53:32.380 -0500,2025-12-15 10:53:32.380 -0500,2025-12-21 20:20:00.000 -0500,16,0,0,7,3,1,Hard Rock Stadium
1066,2025-12-15 10:53:32.383 -0500,2025-12-15 10:53:32.383 -0500,2025-12-22 20:15:00.000 -0500,16,0,0,31,11,1,Lucas Oil Stadium
1067,2025-12-15 10:53:32.386 -0500,2025-12-15 10:53:32.386 -0500,2025-12-25 13:00:00.000 -0500,17,0,0,18,19,1,Northwest Stadium
1068,2025-12-15 10:53:32.390 -0500,2025-12-15 10:53:32.390 -0500,2025-12-25 16:30:00.000 -0500,17,0,0,23,24,1,U.S. Bank Stadium
1069,2025-12-15 10:53:32.394 -0500,2025-12-15 10:53:32.394 -0500,2025-12-25 20:15:00.000 -0500,17,0,0,13,15,1,GEHA Field at Arrowhead Stadium
1070,2025-12-15 10:53:32.397 -0500,2025-12-15 10:53:32.397 -0500,2025-12-28 13:00:00.000 -0500,17,0,0,5,8,1,Huntington Bank Field
1071,2025-12-15 10:53:32.400 -0500,2025-12-15 10:53:32.400 -0500,2025-12-28 13:00:00.000 -0500,17,0,0,25,11,1,Lucas Oil Stadium
1072,2025-12-15 10:53:32.403 -0500,2025-12-15 10:53:32.403 -0500,2025-12-28 13:00:00.000 -0500,17,0,0,26,3,1,Hard Rock Stadium
1073,2025-12-15 10:53:32.408 -0500,2025-12-15 10:53:32.408 -0500,2025-12-28 13:00:00.000 -0500,17,0,0,1,4,1,MetLife Stadium
1074,2025-12-15 10:53:32.411 -0500,2025-12-15 10:53:32.411 -0500,2025-12-28 13:00:00.000 -0500,17,0,0,28,12,1,Nissan Stadium
1075,2025-12-15 10:53:32.414 -0500,2025-12-15 10:53:32.414 -0500,2025-12-28 16:25:00.000 -0500,17,0,0,17,2,1,Highmark Stadium
1076,2025-12-15 10:53:32.417 -0500,2025-12-15 10:53:32.417 -0500,2025-12-28 20:20:00.000 -0500,17,0,0,22,31,1,Levi's Stadium
1077,2025-12-15 10:53:32.420 -0500,2025-12-15 10:53:32.420 -0500,2025-12-29 19:00:00.000 -0500,17,0,0,30,9,1,Bank of America Stadium
1078,2025-12-15 10:53:32.423 -0500,2025-12-15 10:53:32.423 -0500,2025-12-29 19:00:00.000 -0500,17,0,0,32,7,1,Paycor Stadium
1079,2025-12-15 10:53:32.427 -0500,2025-12-15 10:53:32.427 -0500,2025-12-29 19:00:00.000 -0500,17,0,0,6,21,1,Lambeau Field
1080,2025-12-15 10:53:32.430 -0500,2025-12-15 10:53:32.430 -0500,2025-12-29 19:00:00.000 -0500,17,0,0,10,14,1,SoFi Stadium
1081,2025-12-15 10:53:32.433 -0500,2025-12-15 10:53:32.433 -0500,2025-12-29 19:00:00.000 -0500,17,0,0,20,16,1,Allegiant Stadium
1082,2025-12-15 10:53:32.436 -0500,2025-12-15 10:53:32.436 -0500,2025-12-29 20:15:00.000 -0500,17,0,0,29,27,1,Mercedes-Benz Stadium
1083,2025-12-15 10:53:32.440 -0500,2025-12-15 10:53:32.440 -0500,2026-01-04 19:00:00.000 -0500,18,0,0,28,27,1,Mercedes-Benz Stadium
1084,2025-12-15 10:53:32.444 -0500,2025-12-15 10:53:32.444 -0500,2026-01-04 19:00:00.000 -0500,18,0,0,4,2,1,Highmark Stadium
1085,2025-12-15 10:53:32.447 -0500,2025-12-15 10:53:32.447 -0500,2026-01-04 19:00:00.000 -0500,18,0,0,23,22,1,Soldier Field
1086,2025-12-15 10:53:32.450 -0500,2025-12-15 10:53:32.450 -0500,2026-01-04 19:00:00.000 -0500,18,0,0,8,7,1,Paycor Stadium
1087,2025-12-15 10:53:32.453 -0500,2025-12-15 10:53:32.453 -0500,2026-01-04 19:00:00.000 -0500,18,0,0,14,13,1,Empower Field at Mile High
1088,2025-12-15 10:53:32.456 -0500,2025-12-15 10:53:32.456 -0500,2026-01-04 19:00:00.000 -0500,18,0,0,11,10,1,NRG Stadium
1089,2025-12-15 10:53:32.459 -0500,2025-12-15 10:53:32.459 -0500,2026-01-04 19:00:00.000 -0500,18,0,0,12,25,1,EverBank Stadium
1090,2025-12-15 10:53:32.463 -0500,2025-12-15 10:53:32.463 -0500,2026-01-04 19:00:00.000 -0500,18,0,0,32,29,1,SoFi Stadium
1091,2025-12-15 10:53:32.466 -0500,2025-12-15 10:53:32.466 -0500,2026-01-04 19:00:00.000 -0500,18,0,0,15,16,1,Allegiant Stadium
1092,2025-12-15 10:53:32.470 -0500,2025-12-15 10:53:32.470 -0500,2026-01-04 19:00:00.000 -0500,18,0,0,21,24,1,U.S. Bank Stadium
1093,2025-12-15 10:53:32.473 -0500,2025-12-15 10:53:32.473 -0500,2026-01-04 19:00:00.000 -0500,18,0,0,3,1,1,Gillette Stadium
1094,2025-12-15 10:53:32.476 -0500,2025-12-15 10:53:32.476 -0500,2026-01-04 19:00:00.000 -0500,18,0,0,18,20,1,MetLife Stadium
1095,2025-12-15 10:53:32.480 -0500,2025-12-15 10:53:32.480 -0500,2026-01-04 19:00:00.000 -0500,18,0,0,19,17,1,Lincoln Financial Field
1096,2025-12-15 10:53:32.483 -0500,2025-12-15 10:53:32.483 -0500,2026-01-04 19:00:00.000 -0500,18,0,0,6,5,1,Acrisure Stadium
1097,2025-12-15 10:53:32.486 -0500,2025-12-15 10:53:32.486 -0500,2026-01-04 19:00:00.000 -0500,18,0,0,30,31,1,Levi's Stadium
1098,2025-12-15 10:53:32.490 -0500,2025-12-15 10:53:32.490 -0500,2026-01-04 19:00:00.000 -0500,18,0,0,9,26,1,Raymond James Stadium
1036,2025-12-15 10:53:32.289 -0500,2025-12-15 11:34:15.357 -0500,2025-12-14 13:00:00.000 -0500,15,3,31,8,22,1,Soldier Field
1037,2025-12-15 10:53:32.292 -0500,2025-12-15 11:34:57.074 -0500,2025-12-14 13:00:00.000 -0500,15,24,0,6,7,1,Paycor Stadium
1038,2025-12-15 10:53:32.294 -0500,2025-12-15 11:35:20.398 -0500,2025-12-14 13:00:00.000 -0500,15,20,40,32,10,1,NRG Stadium
1102,2025-12-15 10:59:08.599 -0500,2025-12-15 10:59:08.599 -0500,2025-09-04 20:20:00.000 -0400,1,20,24,18,17,1,Lincoln Financial Field
1039,2025-12-15 10:53:32.298 -0500,2025-12-15 11:36:11.082 -0500,2025-12-14 13:00:00.000 -0500,15,20,48,4,25,1,EverBank Stadium
1040,2025-12-15 10:53:32.301 -0500,2025-12-15 11:36:48.219 -0500,2025-12-14 13:00:00.000 -0500,15,16,13,14,15,1,GEHA Field at Arrowhead Stadium
1041,2025-12-15 10:53:32.303 -0500,2025-12-15 11:37:23.690 -0500,2025-12-14 13:00:00.000 -0500,15,31,35,2,1,1,Gillette Stadium
1042,2025-12-15 10:53:32.307 -0500,2025-12-15 11:38:09.753 -0500,2025-12-14 13:00:00.000 -0500,15,29,21,19,20,1,MetLife Stadium
1043,2025-12-15 10:53:32.309 -0500,2025-12-15 11:38:31.157 -0500,2025-12-14 13:00:00.000 -0500,15,0,31,16,17,1,Lincoln Financial Field
1044,2025-12-15 10:53:32.312 -0500,2025-12-15 11:39:31.389 -0500,2025-12-14 16:25:00.000 -0500,15,26,34,21,13,1,Empower Field at Mile High
1045,2025-12-15 10:53:32.315 -0500,2025-12-15 11:39:57.403 -0500,2025-12-14 16:25:00.000 -0500,15,34,41,23,29,1,SoFi Stadium
1046,2025-12-15 10:53:32.318 -0500,2025-12-15 11:40:24.664 -0500,2025-12-14 16:25:00.000 -0500,15,17,20,9,28,1,Caesars Superdome
1047,2025-12-15 10:53:32.320 -0500,2025-12-15 11:40:57.467 -0500,2025-12-14 16:25:00.000 -0500,15,16,18,11,30,1,Lumen Field
1048,2025-12-15 10:53:32.323 -0500,2025-12-15 11:41:18.004 -0500,2025-12-14 16:25:00.000 -0500,15,24,37,12,31,1,Levi's Stadium
1049,2025-12-15 10:53:32.326 -0500,2025-12-15 11:41:51.984 -0500,2025-12-14 20:20:00.000 -0500,15,34,26,24,18,1,AT&T Stadium
1103,2025-12-15 10:59:08.612 -0500,2025-12-15 10:59:08.612 -0500,2025-09-05 20:00:00.000 -0400,1,21,27,15,14,1,Arena Corinthians
1104,2025-12-15 10:59:08.615 -0500,2025-12-15 10:59:08.615 -0500,2025-09-07 13:00:00.000 -0400,1,23,20,26,27,1,Mercedes-Benz Stadium
1105,2025-12-15 10:59:08.617 -0500,2025-12-15 10:59:08.617 -0500,2025-09-07 13:00:00.000 -0400,1,17,16,7,8,1,Huntington Bank Field
1106,2025-12-15 10:59:08.620 -0500,2025-12-15 10:59:08.620 -0500,2025-09-07 13:00:00.000 -0400,1,8,33,3,11,1,Lucas Oil Stadium
1107,2025-12-15 10:59:08.622 -0500,2025-12-15 10:59:08.622 -0500,2025-09-07 13:00:00.000 -0400,1,10,26,9,25,1,EverBank Stadium
1108,2025-12-15 10:59:08.624 -0500,2025-12-15 10:59:08.624 -0500,2025-09-07 13:00:00.000 -0400,1,20,13,16,1,1,Gillette Stadium
1109,2025-12-15 10:59:08.629 -0500,2025-12-15 10:59:08.629 -0500,2025-09-07 13:00:00.000 -0400,1,20,13,32,28,1,Caesars Superdome
1110,2025-12-15 10:59:08.632 -0500,2025-12-15 10:59:08.632 -0500,2025-09-07 13:00:00.000 -0400,1,34,32,5,4,1,MetLife Stadium
1111,2025-12-15 10:59:08.634 -0500,2025-12-15 10:59:08.634 -0500,2025-09-07 13:00:00.000 -0400,1,6,21,20,19,1,Northwest Stadium
1112,2025-12-15 10:59:08.637 -0500,2025-12-15 10:59:08.637 -0500,2025-09-07 16:05:00.000 -0400,1,12,20,12,13,1,Empower Field at Mile High
1113,2025-12-15 10:59:08.639 -0500,2025-12-15 10:59:08.639 -0500,2025-09-07 16:05:00.000 -0400,1,17,13,31,30,1,Lumen Field
1114,2025-12-15 10:59:08.643 -0500,2025-12-15 10:59:08.643 -0500,2025-09-07 16:25:00.000 -0400,1,13,27,23,21,1,Lambeau Field
1115,2025-12-15 10:59:08.645 -0500,2025-12-15 10:59:08.645 -0500,2025-09-07 16:25:00.000 -0400,1,9,14,10,29,1,SoFi Stadium
1116,2025-12-15 10:59:08.648 -0500,2025-12-15 10:59:08.648 -0500,2025-09-07 20:20:00.000 -0400,1,40,41,6,2,1,Highmark Stadium
1117,2025-12-15 10:59:08.650 -0500,2025-12-15 10:59:08.650 -0500,2025-09-08 20:15:00.000 -0400,1,27,24,24,22,1,Soldier Field
1118,2025-12-15 10:59:08.652 -0500,2025-12-15 10:59:08.652 -0500,2025-09-11 20:15:00.000 -0400,2,18,27,19,21,1,Lambeau Field
1119,2025-12-15 10:59:08.654 -0500,2025-12-15 10:59:08.655 -0500,2025-09-14 13:00:00.000 -0400,2,17,41,8,6,1,M&T Bank Stadium
1120,2025-12-15 10:59:08.657 -0500,2025-12-15 10:59:08.657 -0500,2025-09-14 13:00:00.000 -0400,2,27,31,25,7,1,Paycor Stadium
1121,2025-12-15 10:59:08.660 -0500,2025-12-15 10:59:08.660 -0500,2025-09-14 13:00:00.000 -0400,2,37,40,20,18,1,AT&T Stadium
1122,2025-12-15 10:59:08.664 -0500,2025-12-15 10:59:08.664 -0500,2025-09-14 13:00:00.000 -0400,2,21,52,22,23,1,Ford Field
1123,2025-12-15 10:59:08.666 -0500,2025-12-15 10:59:08.666 -0500,2025-09-14 13:00:00.000 -0400,2,33,27,1,3,1,Hard Rock Stadium
1124,2025-12-15 10:59:08.669 -0500,2025-12-15 10:59:08.669 -0500,2025-09-14 13:00:00.000 -0400,2,26,21,31,28,1,Caesars Superdome
1125,2025-12-15 10:59:08.672 -0500,2025-12-15 10:59:08.672 -0500,2025-09-14 13:00:00.000 -0400,2,30,10,2,4,1,MetLife Stadium
1126,2025-12-15 10:59:08.675 -0500,2025-12-15 10:59:08.675 -0500,2025-09-14 13:00:00.000 -0400,2,31,17,30,5,1,Acrisure Stadium
1127,2025-12-15 10:59:08.678 -0500,2025-12-15 10:59:08.678 -0500,2025-09-14 13:00:00.000 -0400,2,33,19,29,12,1,Nissan Stadium
1128,2025-12-15 10:59:08.681 -0500,2025-12-15 10:59:08.681 -0500,2025-09-14 16:05:00.000 -0400,2,22,27,9,32,1,State Farm Stadium
1129,2025-12-15 10:59:08.683 -0500,2025-12-15 10:59:08.683 -0500,2025-09-14 16:05:00.000 -0400,2,28,29,13,11,1,Lucas Oil Stadium
1130,2025-12-15 10:59:08.685 -0500,2025-12-15 10:59:08.685 -0500,2025-09-14 16:25:00.000 -0400,2,20,17,17,15,1,GEHA Field at Arrowhead Stadium
1131,2025-12-15 10:59:08.688 -0500,2025-12-15 10:59:08.688 -0500,2025-09-14 20:20:00.000 -0400,2,22,6,27,24,1,U.S. Bank Stadium
1132,2025-12-15 10:59:08.691 -0500,2025-12-15 10:59:08.691 -0500,2025-09-15 19:00:00.000 -0400,2,20,19,26,10,1,NRG Stadium
1133,2025-12-15 10:59:08.693 -0500,2025-12-15 10:59:08.694 -0500,2025-09-15 22:00:00.000 -0400,2,20,9,14,16,1,Allegiant Stadium
1134,2025-12-15 10:59:08.696 -0500,2025-12-15 10:59:08.696 -0500,2025-09-18 20:15:00.000 -0400,3,21,31,3,2,1,Highmark Stadium
1135,2025-12-15 10:59:08.699 -0500,2025-12-15 10:59:08.699 -0500,2025-09-21 13:00:00.000 -0400,3,0,30,27,9,1,Bank of America Stadium
1136,2025-12-15 10:59:08.702 -0500,2025-12-15 10:59:08.702 -0500,2025-09-21 13:00:00.000 -0400,3,10,13,21,8,1,Huntington Bank Field
1137,2025-12-15 10:59:08.705 -0500,2025-12-15 10:59:08.705 -0500,2025-09-21 13:00:00.000 -0400,3,10,17,10,25,1,EverBank Stadium
1138,2025-12-15 10:59:08.707 -0500,2025-12-15 10:59:08.707 -0500,2025-09-21 13:00:00.000 -0400,3,10,48,7,24,1,U.S. Bank Stadium
1139,2025-12-15 10:59:08.710 -0500,2025-12-15 10:59:08.710 -0500,2025-09-21 13:00:00.000 -0400,3,21,14,5,1,1,Gillette Stadium
1140,2025-12-15 10:59:08.712 -0500,2025-12-15 10:59:08.712 -0500,2025-09-21 13:00:00.000 -0400,3,26,33,29,17,1,Lincoln Financial Field
1141,2025-12-15 10:59:08.715 -0500,2025-12-15 10:59:08.715 -0500,2025-09-21 13:00:00.000 -0400,3,27,29,4,26,1,Raymond James Stadium
1142,2025-12-15 10:59:08.717 -0500,2025-12-15 10:59:08.717 -0500,2025-09-21 13:00:00.000 -0400,3,41,20,11,12,1,Nissan Stadium
1143,2025-12-15 10:59:08.719 -0500,2025-12-15 10:59:08.719 -0500,2025-09-21 13:00:00.000 -0400,3,24,41,16,19,1,Northwest Stadium
1144,2025-12-15 10:59:08.722 -0500,2025-12-15 10:59:08.722 -0500,2025-09-21 16:05:00.000 -0400,3,20,23,13,14,1,SoFi Stadium
1145,2025-12-15 10:59:08.725 -0500,2025-12-15 10:59:08.725 -0500,2025-09-21 16:05:00.000 -0400,3,13,44,28,30,1,Lumen Field
1146,2025-12-15 10:59:08.728 -0500,2025-12-15 10:59:08.728 -0500,2025-09-21 16:25:00.000 -0400,3,14,31,18,22,1,Soldier Field
1147,2025-12-15 10:59:08.731 -0500,2025-12-15 10:59:08.731 -0500,2025-09-21 16:25:00.000 -0400,3,15,16,32,31,1,Levi's Stadium
1148,2025-12-15 10:59:08.734 -0500,2025-12-15 10:59:08.734 -0500,2025-09-21 20:20:00.000 -0400,3,22,9,15,20,1,MetLife Stadium
1149,2025-12-15 10:59:08.736 -0500,2025-12-15 10:59:08.736 -0500,2025-09-22 20:15:00.000 -0400,3,38,30,23,6,1,M&T Bank Stadium
1150,2025-12-15 10:59:08.739 -0500,2025-12-15 10:59:08.739 -0500,2025-09-25 20:15:00.000 -0400,4,23,20,30,32,1,State Farm Stadium
1151,2025-12-15 10:59:08.741 -0500,2025-12-15 10:59:08.741 -0500,2025-09-28 09:30:00.000 -0400,4,21,24,24,5,1,Croke Park
1152,2025-12-15 10:59:08.744 -0500,2025-12-15 10:59:08.744 -0500,2025-09-28 13:00:00.000 -0400,4,27,34,19,27,1,Mercedes-Benz Stadium
1153,2025-12-15 10:59:08.747 -0500,2025-12-15 10:59:08.747 -0500,2025-09-28 13:00:00.000 -0400,4,19,31,28,2,1,Highmark Stadium
1154,2025-12-15 10:59:08.749 -0500,2025-12-15 10:59:08.749 -0500,2025-09-28 13:00:00.000 -0400,4,10,34,8,23,1,Ford Field
1155,2025-12-15 10:59:08.752 -0500,2025-12-15 10:59:08.752 -0500,2025-09-28 13:00:00.000 -0400,4,0,26,12,10,1,NRG Stadium
1156,2025-12-15 10:59:08.755 -0500,2025-12-15 10:59:08.755 -0500,2025-09-28 13:00:00.000 -0400,4,13,42,9,1,1,Gillette Stadium
1157,2025-12-15 10:59:08.757 -0500,2025-12-15 10:59:08.757 -0500,2025-09-28 13:00:00.000 -0400,4,18,21,14,20,1,MetLife Stadium
1158,2025-12-15 10:59:08.760 -0500,2025-12-15 10:59:08.760 -0500,2025-09-28 13:00:00.000 -0400,4,31,25,17,26,1,Raymond James Stadium
1159,2025-12-15 10:59:08.763 -0500,2025-12-15 10:59:08.763 -0500,2025-09-28 16:05:00.000 -0400,4,20,27,11,29,1,SoFi Stadium
1160,2025-12-15 10:59:08.766 -0500,2025-12-15 10:59:08.766 -0500,2025-09-28 16:05:00.000 -0400,4,26,21,25,31,1,Levi's Stadium
1161,2025-12-15 10:59:08.769 -0500,2025-12-15 10:59:08.769 -0500,2025-09-28 16:25:00.000 -0400,4,20,37,6,15,1,GEHA Field at Arrowhead Stadium
1162,2025-12-15 10:59:08.772 -0500,2025-12-15 10:59:08.772 -0500,2025-09-28 16:25:00.000 -0400,4,25,24,22,16,1,Allegiant Stadium
1163,2025-12-15 10:59:08.774 -0500,2025-12-15 10:59:08.774 -0500,2025-09-28 20:20:00.000 -0400,4,40,40,21,18,1,AT&T Stadium
1164,2025-12-15 10:59:08.777 -0500,2025-12-15 10:59:08.777 -0500,2025-09-29 19:15:00.000 -0400,4,21,27,4,3,1,Hard Rock Stadium
